date,fund,return
2023-09-11,Equity Equal Weight,0.00286569
2023-09-12,Equity Equal Weight,0.00230824
2023-09-13,Equity Equal Weight,-0.00096723
2023-09-14,Equity Equal Weight,0.01236087
2023-09-15,Equity Equal Weight,-0.01048908
2023-09-18,Equity Equal Weight,-0.00024995
2023-09-19,Equity Equal Weight,-0.0042135
2023-09-20,Equity Equal Weight,-0.00526464
2023-09-21,Equity Equal Weight,-0.01858807
2023-09-22,Equity Equal Weight,-0.00333413
2023-09-25,Equity Equal Weight,0.00208694
2023-09-26,Equity Equal Weight,-0.01203868
2023-09-27,Equity Equal Weight,-0.00141067
2023-09-28,Equity Equal Weight,0.00405121
2023-09-29,Equity Equal Weight,-0.0010646
2023-10-02,Equity Equal Weight,-0.01427779
2023-10-03,Equity Equal Weight,-0.00862384
2023-10-04,Equity Equal Weight,0.00145876
2023-10-05,Equity Equal Weight,-0.00184815
2023-10-06,Equity Equal Weight,0.01057282
2023-10-09,Equity Equal Weight,0.00876393
2023-10-10,Equity Equal Weight,0.00828256
2023-10-11,Equity Equal Weight,0.00336516
2023-10-12,Equity Equal Weight,-0.00831114
2023-10-13,Equity Equal Weight,0.00111478
2023-10-16,Equity Equal Weight,0.01005749
2023-10-17,Equity Equal Weight,0.00279327
2023-10-18,Equity Equal Weight,-0.01429852
2023-10-19,Equity Equal Weight,-0.0093134
2023-10-20,Equity Equal Weight,-0.00897274
2023-10-23,Equity Equal Weight,-0.00659698
2023-10-24,Equity Equal Weight,0.01086524
2023-10-25,Equity Equal Weight,-0.01207195
2023-10-26,Equity Equal Weight,-0.00209123
2023-10-27,Equity Equal Weight,-0.01009175
2023-10-30,Equity Equal Weight,0.01000041
2023-10-31,Equity Equal Weight,0.00587657
2023-11-01,Equity Equal Weight,0.00488311
2023-11-02,Equity Equal Weight,0.02579496
2023-11-03,Equity Equal Weight,0.01279402
2023-11-06,Equity Equal Weight,-0.00445658
2023-11-07,Equity Equal Weight,-0.00373906
2023-11-08,Equity Equal Weight,-0.00117988
2023-11-09,Equity Equal Weight,-0.00890388
2023-11-10,Equity Equal Weight,0.01064673
2023-11-13,Equity Equal Weight,-0.00113359
2023-11-14,Equity Equal Weight,0.02459404
2023-11-15,Equity Equal Weight,0.00534919
2023-11-16,Equity Equal Weight,0.00076317
2023-11-17,Equity Equal Weight,0.00316832
2023-11-20,Equity Equal Weight,0.00443231
2023-11-21,Equity Equal Weight,-0.00234488
2023-11-22,Equity Equal Weight,0.00172206
2023-11-24,Equity Equal Weight,0.00244287
2023-11-27,Equity Equal Weight,0.00053149
2023-11-28,Equity Equal Weight,0.00204266
2023-11-29,Equity Equal Weight,0.00467803
2023-11-30,Equity Equal Weight,0.00638451
2023-12-01,Equity Equal Weight,0.00922593
2023-12-04,Equity Equal Weight,-0.00181341
2023-12-05,Equity Equal Weight,-0.00526149
2023-12-06,Equity Equal Weight,-0.00071601
2023-12-07,Equity Equal Weight,0.00490029
2023-12-08,Equity Equal Weight,0.00322869
2023-12-11,Equity Equal Weight,0.00678348
2023-12-12,Equity Equal Weight,0.0007978
2023-12-13,Equity Equal Weight,0.02090241
2023-12-14,Equity Equal Weight,0.01449341
2023-12-15,Equity Equal Weight,-0.00301178
2023-12-18,Equity Equal Weight,-0.00137704
2023-12-19,Equity Equal Weight,0.00815644
2023-12-20,Equity Equal Weight,-0.01475298
2023-12-21,Equity Equal Weight,0.00816053
2023-12-22,Equity Equal Weight,0.00195996
2023-12-26,Equity Equal Weight,0.00650646
2023-12-27,Equity Equal Weight,0.00145536
2023-12-28,Equity Equal Weight,0.00122422
2023-12-29,Equity Equal Weight,-0.00303512
2022-01-03,Equity Minimum Variance,-0.00118566
2022-01-04,Equity Minimum Variance,-0.00091922
2022-01-05,Equity Minimum Variance,3.801e-05
2022-01-06,Equity Minimum Variance,-0.00920059
2022-01-07,Equity Minimum Variance,0.00416815
2022-01-10,Equity Minimum Variance,-0.00302763
2022-01-11,Equity Minimum Variance,0.00455759
2022-01-12,Equity Minimum Variance,0.00487812
2022-01-13,Equity Minimum Variance,-0.00151262
2022-01-14,Equity Minimum Variance,-0.001447
2022-01-18,Equity Minimum Variance,-0.00323453
2022-01-19,Equity Minimum Variance,0.00746122
2022-01-20,Equity Minimum Variance,-0.01228625
2022-01-21,Equity Minimum Variance,-0.00347407
2022-01-24,Equity Minimum Variance,-0.003231
2022-01-25,Equity Minimum Variance,-0.00547637
2022-01-26,Equity Minimum Variance,-0.0132058
2022-01-27,Equity Minimum Variance,0.00100319
2022-01-28,Equity Minimum Variance,0.00977127
2022-01-31,Equity Minimum Variance,0.00846885
2022-02-01,Equity Minimum Variance,0.00101066
2022-02-02,Equity Minimum Variance,0.00743866
2022-02-03,Equity Minimum Variance,-0.00455871
2022-02-04,Equity Minimum Variance,-0.00774384
2022-02-07,Equity Minimum Variance,0.00240915
2022-02-08,Equity Minimum Variance,-0.00075656
2022-02-09,Equity Minimum Variance,0.00105739
2022-02-10,Equity Minimum Variance,-0.01516948
2022-02-11,Equity Minimum Variance,0.00096284
2022-02-14,Equity Minimum Variance,-0.00476283
2022-02-15,Equity Minimum Variance,0.00339033
2022-02-16,Equity Minimum Variance,-0.000498
2022-02-17,Equity Minimum Variance,0.00172407
2022-02-18,Equity Minimum Variance,-0.00467371
2022-02-22,Equity Minimum Variance,-0.00532048
2022-02-23,Equity Minimum Variance,0.0007732
2022-02-24,Equity Minimum Variance,-0.00691498
2022-02-25,Equity Minimum Variance,0.0223728
2022-02-28,Equity Minimum Variance,-0.0098617
2022-03-01,Equity Minimum Variance,7.82e-05
2022-03-02,Equity Minimum Variance,0.01114375
2022-03-03,Equity Minimum Variance,0.00836736
2022-03-04,Equity Minimum Variance,0.0096327
2022-03-07,Equity Minimum Variance,-0.00662573
2022-03-08,Equity Minimum Variance,-0.0149529
2022-03-09,Equity Minimum Variance,0.00568724
2022-03-10,Equity Minimum Variance,0.00037546
2022-03-11,Equity Minimum Variance,-0.0058517
2022-03-14,Equity Minimum Variance,-0.00317983
2022-03-15,Equity Minimum Variance,0.00920337
2022-03-16,Equity Minimum Variance,0.00372783
2022-03-17,Equity Minimum Variance,0.01196871
2022-03-18,Equity Minimum Variance,0.00394964
2022-03-21,Equity Minimum Variance,0.00269476
2022-03-22,Equity Minimum Variance,0.00392171
2022-03-23,Equity Minimum Variance,-0.00686078
2022-03-24,Equity Minimum Variance,0.00613729
2022-03-25,Equity Minimum Variance,0.00734839
2022-03-28,Equity Minimum Variance,0.00652921
2022-03-29,Equity Minimum Variance,0.01240987
2022-03-30,Equity Minimum Variance,0.00276594
2022-03-31,Equity Minimum Variance,-0.00890811
2022-04-01,Equity Minimum Variance,0.00951079
2022-04-04,Equity Minimum Variance,0.00306659
2022-04-05,Equity Minimum Variance,-0.00396362
2022-04-06,Equity Minimum Variance,0.01238501
2022-04-07,Equity Minimum Variance,0.00301161
2022-04-08,Equity Minimum Variance,0.00517588
2022-04-11,Equity Minimum Variance,-0.00906455
2022-04-12,Equity Minimum Variance,-0.0023216
2022-04-13,Equity Minimum Variance,0.00393084
2022-04-14,Equity Minimum Variance,0.00309238
2022-04-18,Equity Minimum Variance,-0.00700861
2022-04-19,Equity Minimum Variance,0.00964324
2022-04-20,Equity Minimum Variance,0.00321085
2022-04-21,Equity Minimum Variance,-0.00297232
2022-04-22,Equity Minimum Variance,-0.0143239
2022-04-25,Equity Minimum Variance,-0.00069856
2022-04-26,Equity Minimum Variance,-0.0176952
2022-04-27,Equity Minimum Variance,-0.00513325
2022-04-28,Equity Minimum Variance,0.01369002
2022-04-29,Equity Minimum Variance,-0.03146786
2022-05-02,Equity Minimum Variance,0.00093778
2022-05-03,Equity Minimum Variance,0.00334668
2022-05-04,Equity Minimum Variance,0.0213914
2022-05-05,Equity Minimum Variance,-0.01404732
2022-05-06,Equity Minimum Variance,-0.00903678
2022-05-09,Equity Minimum Variance,-0.01227401
2022-05-10,Equity Minimum Variance,-0.00903979
