trade_date,ticker,sector,sentiment,n_headlines
2022-02-09,QCOM,Tech,0.09614,5
2022-02-09,SBUX,Consumer,0.0,2
2022-02-09,SHW,Materials,0.4767,1
2022-02-09,SLB,Energy,0.2773333333333334,3
2022-02-09,T,Comm,0.2045,5
2022-02-09,TMUS,Comm,0.8481,1
2022-02-09,TTWO,Comm,0.34,1
2022-02-09,V,Financials,0.025675,4
2022-02-09,WFC,Financials,0.4049666666666667,3
2022-02-09,WMT,Consumer,0.1909,2
2022-02-09,XOM,Energy,0.2732,1
2022-02-10,ABBV,Healthcare,0.058533333333333326,3
2022-02-10,ABT,Healthcare,0.148,2
2022-02-10,ADBE,Tech,0.0,1
2022-02-10,AEP,Utilities,0.4404,1
2022-02-10,AMD,Tech,0.30075,8
2022-02-10,AMGN,Healthcare,-0.024119999999999985,5
2022-02-10,AMT,RealEstate,0.31245,2
2022-02-10,BA,Industrials,0.23166000000000003,5
2022-02-10,CAT,Industrials,0.0,1
2022-02-10,CMCSA,Comm,0.78145,2
2022-02-10,COP,Energy,0.23955,4
2022-02-10,CVX,Energy,0.3818,1
2022-02-10,D,Utilities,0.28555,2
2022-02-10,DD,Materials,0.6597,1
2022-02-10,DIS,Consumer,0.046799999999999994,23
2022-02-10,DUK,Utilities,0.28758,5
2022-02-10,GE,Industrials,0.0713,5
2022-02-10,GILD,Healthcare,0.0193,4
2022-02-10,GS,Financials,-0.13396666666666665,3
2022-02-10,INTC,Tech,0.0,1
2022-02-10,KO,Consumer,-0.019664285714285714,14
2022-02-10,MMM,Industrials,0.08895,2
2022-02-10,MRK,Healthcare,0.33525,2
2022-02-10,MS,Financials,-0.027800000000000005,4
2022-02-10,NEE,Utilities,0.436,4
2022-02-10,NEM,Materials,-0.1806,2
2022-02-10,NKE,Consumer,0.2499333333333333,3
2022-02-10,NVDA,Tech,0.151525,8
2022-02-10,O,RealEstate,0.0,1
2022-02-10,OXY,Energy,-0.5859,1
2022-02-10,PLD,RealEstate,0.51585,2
2022-02-10,PSA,RealEstate,0.01185,2
2022-02-10,QCOM,Tech,0.0,1
2022-02-10,SBUX,Consumer,0.323075,4
2022-02-10,SHW,Materials,0.0,1
2022-02-10,SLB,Energy,0.19935,2
2022-02-10,SO,Utilities,-0.296,1
2022-02-10,T,Comm,0.4012,3
2022-02-10,TMUS,Comm,0.8519,2
2022-02-10,TTWO,Comm,0.20095,2
2022-02-10,UPS,Industrials,0.2023,1
2022-02-10,V,Financials,0.26663333333333333,3
2022-02-10,WFC,Financials,-0.013816666666666672,6
2022-02-10,WMT,Consumer,0.31658,5
2022-02-10,XOM,Energy,0.015128571428571427,7
2022-02-11,ABBV,Healthcare,0.40569999999999995,3
2022-02-11,ABT,Healthcare,0.4404,1
2022-02-11,ADBE,Tech,0.1909,2
2022-02-11,AEP,Utilities,0.0,1
2022-02-11,AMD,Tech,0.1126888888888889,9
2022-02-11,AMGN,Healthcare,0.5574,1
2022-02-11,AMT,RealEstate,0.0,1
2022-02-11,BA,Industrials,0.629,2
2022-02-11,CAT,Industrials,0.0,2
2022-02-11,CCI,RealEstate,-0.05135,2
2022-02-11,CMCSA,Comm,0.09875000000000003,2
2022-02-11,CVX,Energy,0.12378,5
2022-02-11,D,Utilities,0.3266,5
2022-02-11,DIS,Consumer,0.030162500000000002,8
2022-02-11,DUK,Utilities,-0.0516,1
2022-02-11,EA,Comm,-0.17,2
2022-02-11,GE,Industrials,0.16963333333333333,3
